[19/Feb/2014:21:34:37 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" 29110
[19/Feb/2014:21:34:37 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 1170
[19/Feb/2014:21:38:25 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 1713
[19/Feb/2014:21:38:25 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:38:25 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:38:25 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 44
[19/Feb/2014:21:38:25 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 1713
[19/Feb/2014:21:42:45 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:42:45 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:42:45 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:42:45 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 44
[19/Feb/2014:21:42:46 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:43:12 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:43:12 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:43:12 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 44
[19/Feb/2014:21:43:12 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:43:12 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:46:54 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:46:54 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:46:54 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 56
[19/Feb/2014:21:46:54 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:46:54 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:47:42 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:47:42 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:47:42 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 114
[19/Feb/2014:21:47:42 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:47:42 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:48:05 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:48:05 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 117
[19/Feb/2014:21:48:05 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:48:05 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:48:05 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:48:18 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4015
[19/Feb/2014:21:48:18 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:48:18 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 129
[19/Feb/2014:21:48:18 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:48:18 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4015
[19/Feb/2014:21:55:56 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4013
[19/Feb/2014:21:55:56 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/bootstrap/bootstrap.min.css HTTP/1.1" -
[19/Feb/2014:21:55:56 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /css/default.css HTTP/1.1" 28715
[19/Feb/2014:21:55:56 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /js/bootstrap/bootstrap.min.js HTTP/1.1" -
[19/Feb/2014:21:55:56 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET /favicon.ico HTTP/1.1" 4013
[19/Feb/2014:21:56:08 -0500] 127.0.0.1 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 4013
